English,Infinitiv,Stem,Imperative,Præsens,Datid,Perfektum
to look/watch,at kigge,kigg,kig,kigger,kiggede,kigget
to buy,at købe,køb,køb,køber,købte,købt
to come,at komme,komm,kom,kommer,kom,kommet
to drive,at køre,kør,kør,kører,kørte,kørt
to can/be able,at kunne,kun,kun,kan,kunne,kunnet
to cut,at klippe,klipp,klip,klipper,klippede,klippet
to let/allow,at lade,lad,lad,lader,lod,ladet
to learn,at lære,lær,lær,lærer,lærte,lært
to read,at læse,læs,læs,læser,læste,læst
to cook,at lave,lav,lav,laver,lavede,lavet
to play,at lege,leg,leg,leger,legede,leget
to lie (position),at ligge,ligg,lig,ligger,lå,ligget
to run,at løbe,løb,løb,løber,løb,løbet
to close,at lukke,lukk,luk,lukker,lukkede,lukket
to listen,at lytte,lytt,lyt,lytter,lyttede,lyttet
to must,at måtte,må,må,må,måtte,måttet
to mean,at mene,men,men,mener,mente,ment
to meet,at møde,mød,mød,møder,mødte,mødt
to feel,at mærke,mærk,mærk,mærker,mærkede,mærket
to receive,at modtage,modtag,modtag,modtager,modtog,modtaget
to try,at prøve,prøv,prøv,prøver,prøvede,prøvet
to travel,at rejse,rejs,rejs,rejser,rejste,rejst
to mix,at røre,rør,rør,rører,rørte,rørt
to send back/return,at returnere,returner,returner,returnerer,returnerede,returneret
to call (on phone),at ringe,ring,ring,ringer,ringede,ringet
to sell,at sælge,sælg,sælg,sælger,solgte,solgt
to put/place,at sætte,sætt,sæt,sætter,satte,sat
to see,at se,se,se,ser,så,set
to send,at sende,send,send,sender,sendte,sendt
to sit,at sidde,sidd,sid,sidder,sad,siddet
to say,at sige,sig,sig,siger,sagde,sagt
to create,at skabe,skab,skab,skaber,skabte,skabt
to cut,at skære,skær,skær,skærer,skar,skåret
to write,at skrive,skriv,skriv,skriver,skrev,skrevet
to push,at skubbe,skubb,skub,skubber,skubbede,skubbet
to shall/should,at skulle,skal,skal,skal,skulle,skullet
to end/finish,at slutte,slutt,slut,slutter,sluttede,sluttet
to smile,at smile,smil,smil,smiler,smilede,smilet
to sleep,at sove,sov,sov,sover,sov,sovet
to walk,at spadsere,spadser,spadser,spadserer,spadserede,spadseret
to play (music/sport),at spille,spill,spil,spiller,spillede,spillet
to eat,at spise,spis,spis,spiser,spiste,spist
to hit,at slå,slå,slå,slår,slog,slået
to stand,at stå,stå,stå,står,stod,stået
to study,at studere,studer,studer,studerer,studerede,studeret
to talk,at snakke,snakk,snak,snakker,snakkede,snakket
to swim,at svømme,svømm,svøm,svømmer,svømmede,svømmet
to sing,at synge,syng,syng,synger,sang,sunget
to lose,at tabe,tab,tab,taber,tabte,tabt
to think,at tænke,tænk,tænk,tænker,tænkte,tænkt
to take,at tage,tag,tag,tager,tog,taget
to speak,at tale,tal,tal,taler,talte,talt
to pull,at trække,trækk,træk,trækker,trak,trukket
to need,at trænge,træng,træng,trænger,trængte,trængt
to believe,at tro,tro,tro,tror,trodde,troet
to teach,at undervise,undervis,undervis,underviser,underviste,undervist
to choose,at vælge,vælg,vælg,vælger,valgte,valgt
to be,at være,vær,vær,er,var,været
to wash,at vaske,vask,vask,vasker,vaskede,vasket
to wait,at vente,vent,vent,venter,ventede,ventet
to know (a fact),at vide,vid,vid,ved,vidste,vidst
to want,at ville,vil,vil,vil,ville,villet
to win,at vinde,vind,vind,vinder,vandt,vundet
to show,at vise,vis,vis,viser,viste,vist
to grow,at vokse,voks,voks,vokser,voksede,vokset
